Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ISNLTD        12.90    13.30    12.70    12.90  -2.27     12         2039        0.026
JUTESPINN     51.00    51.00    51.00    51.00  -3.95      1          100        0.005
KAY&QUE       32.00    32.60    30.60    32.10   0.00     28         4010        0.129
KPPL           9.10     9.10     8.60     8.80  -3.30    208       313431        2.742
LEGACYFOOT    21.30    21.40    20.90    21.10   3.43     67        53164        1.127
MAKSONSPIN     7.70     7.80     7.60     7.60  -1.30    176       246721        1.886
MEGCONMILK     8.40     8.40     8.00     8.20  -4.65     58        84111        0.686
MEGHNAPET      7.20     7.20     7.00     7.00  -1.41     57        58000        0.411
METROSPIN      7.20     7.30     7.00     7.10   0.00     32        49758        0.355
MIDASFIN      23.30    23.50    23.00    23.30   1.75    147       157599        3.671
MODERNDYE    170.10   170.10   161.00   163.10  -3.15    111         4992        0.817
PADMALIFE     26.30    27.80    26.30    26.50   0.00     24         6907        0.183
PLFSL          8.30     8.30     8.00     8.00  -2.44    191       280127        2.270
PRAGATILIF    97.00    97.00    96.50    96.70   0.21     59        10500        1.016
PRIMEFIN       8.90     8.90     8.60     8.70  -1.14    112       207676        1.811
PROGRESLIF    51.20    51.20    47.00    48.60  -6.00     32         5288        0.258
RAHIMAFOOD   134.50   144.00   133.50   140.80   4.68    250        27976        3.848
RNSPIN        22.30    23.90    22.30    23.90   9.63   1191      2169951       51.483
SAMATALETH    25.50    27.00    25.10    25.60  -0.39     11         1700        0.043
SAVAREFR      45.30    45.50    45.10    45.40  -9.38      6          250        0.011
SHURWID       10.50    10.80    10.40    10.70   1.90     33        26560        0.284
SHYAMPSUG     19.00    19.00    18.00    18.20  -6.19     96        13775        0.254
SINOBANGLA    29.10    29.50    28.70    28.70  -1.37     69        69900        2.028
SONARGAON      9.70     9.80     9.60     9.70   0.00     13         4275        0.041
SPCERAMICS     9.50     9.50     9.30     9.40  -1.05     72       109601        1.034
SUNLIFEINS    19.90    20.10    19.50    19.70  -2.96     20         3405        0.067
TALLUSPIN      9.10     9.20     9.00     9.00  -1.10     84       123257        1.121
UNITEDAIR      5.00     5.00     4.80     4.80  -2.04    560      3516107       17.129
WMSHIPYARD    31.00    31.10    30.40    30.80   0.00    336       322053        9.891
ZEALBANGLA    34.60    39.10    34.50    38.10   5.25    108        39813        1.483
                                                      ------    ---------    ---------
                                                        5943      9867014      132.596

Z Group (Equity) scrips traded in Public Market   =   46



MUTUAL FUNDs
------------
Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

1JANATAMF      5.10     5.20     5.00     5.10   0.00     82       717816        3.629
1STPRIMFMF     9.50     9.60     9.40     9.60   2.13    173       560036        5.329
ABB1STMF       5.20     5.30     5.20     5.20   0.00     33       308573        1.605
AIBL1STIMF     7.80     7.90     7.80     7.90   0.00      9       137000        1.082
ATCSLGF       10.20    10.40    10.20    10.30   0.00     18        16924        0.174
DBH1STMF       7.00     7.40     7.00     7.30   2.82     13        29046        0.211
EBL1STMF       5.40     5.40     5.30     5.40   0.00     17        57135        0.306
EBLNRBMF       5.40     5.50     5.30     5.40  -1.82     23       579960        3.134
EXIM1STMF      7.60     7.80     7.50     7.60   0.00     34        67430        0.514
FBFIF          5.70     5.70     5.60     5.70  -1.72     49       131390        0.749
GRAMEENS2     11.20    11.30    11.00    11.10  -0.89     83       607756        6.759
GREENDELMF     7.00     7.40     7.00     7.20   1.41     29        83328        0.597
